consecutive_losses,balance_ratio,avg_bet_size,churn
6,0.4,97.66,1
3,0.34,23.76,1
0,1.7,99.15,0
1,1.8,12.8,0
2,0.54,1.71,0
1,1.38,71.16,0
7,0.15,5.07,1
3,1.66,55.88,0
1,0.94,33.88,0
1,1.87,62.48,0
7,0.77,96.96,0
1,1.06,9.95,0
7,0.17,4.3,1
9,1.44,10.48,0
0,0.57,61.51,0
5,0.89,35.83,1
4,0.29,90.33,1
0,0.6,19.98,0
5,0.31,40.21,1
8,0.74,57.0,1
3,0.18,8.7,1
8,0.29,84.81,1
8,1.09,15.63,1
4,0.69,57.73,0
6,1.4,71.02,0
3,0.42,94.3,1
2,0.4,90.86,1
10,0.57,46.44,1
6,1.64,27.83,0
8,1.05,22.59,1
7,1.88,37.06,0
7,0.47,15.58,1
6,1.45,98.31,0
5,0.98,31.86,0
4,1.14,94.45,0
0,1.34,97.45,0
8,0.29,49.38,1
6,0.11,65.97,1
4,0.76,90.77,0
9,0.18,91.77,1
8,1.52,23.42,0
1,0.88,81.71,0
4,1.08,85.82,0
1,1.84,59.3,0
9,0.97,52.73,1
7,1.86,28.9,0
10,1.96,72.26,0
4,1.49,50.53,0
0,1.82,68.99,0
1,0.46,71.54,1
2,1.45,15.65,0
0,1.28,19.37,0
3,1.43,53.96,0
6,1.7,58.49,0
5,0.2,69.05,1
8,0.56,83.43,1
10,0.17,54.54,1
0,0.9,78.24,0
1,0.11,44.39,0
7,1.21,62.73,0
3,0.34,13.55,1
2,1.67,85.45,0
2,1.01,95.76,0
0,1.71,89.06,0
4,1.51,54.78,0
4,1.5,17.52,0
9,0.24,96.37,1
10,0.65,95.71,1
2,1.97,81.52,0
6,0.39,69.43,1
6,1.99,89.2,0
7,1.17,27.53,0
5,1.16,54.04,0
6,0.39,69.69,1
3,0.63,98.2,0
5,0.92,81.82,0
4,0.87,41.94,0
5,0.19,60.58,1
7,1.91,24.43,0
7,1.26,70.78,0
0,1.67,55.86,0
5,0.71,61.53,1
0,1.19,91.47,0
3,0.29,99.23,1
0,1.55,74.65,0
6,1.96,2.98,0
3,1.92,12.14,0
0,1.24,19.31,0
3,1.48,44.31,0
1,0.19,43.97,1
10,1.1,62.25,1
9,1.38,58.49,0
1,0.95,72.06,0
9,1.47,62.8,0
6,1.55,88.67,0
1,1.72,34.13,0
6,0.55,62.95,1
3,1.26,53.96,0
7,1.87,77.29,0
9,0.27,95.35,1
9,0.32,36.31,1
9,1.91,42.84,0
4,0.92,21.72,0
0,1.04,60.46,0
9,0.78,37.84,1
0,1.81,42.61,0
6,1.14,4.95,0
6,1.73,54.44,0
5,0.99,61.37,1
7,0.59,34.17,1
3,0.59,50.8,0
0,0.56,91.28,0
10,1.69,2.46,0
7,1.5,87.5,0
9,0.63,3.92,1
5,0.57,31.69,1
1,0.41,1.78,0
10,0.84,45.46,1
8,0.94,49.71,1
1,1.88,60.88,0
8,0.79,84.72,1
7,1.45,94.33,0
0,0.74,55.74,0
0,0.31,24.75,1
0,1.98,30.79,0
0,0.13,47.84,0
0,0.46,26.64,0
3,0.8,36.59,0
0,1.12,86.32,0
9,0.24,86.16,1
8,0.84,10.07,1
4,1.76,50.54,0
9,0.5,16.57,1
5,0.88,29.78,0
5,0.88,22.53,0
1,1.28,1.73,0
2,1.93,28.34,0
10,1.07,24.02,1
9,1.77,36.66,0
8,0.98,53.05,0
2,0.95,80.59,0
0,1.85,57.85,0
6,0.96,52.91,0
0,0.37,5.27,0
2,1.92,63.48,0
5,1.13,99.54,0
10,1.18,54.28,0
4,0.67,39.43,1
8,0.81,38.48,1
2,1.48,56.56,0
1,1.28,39.52,0
7,1.47,12.43,0
0,1.27,85.76,0
6,1.09,78.68,0
8,1.23,30.76,0
7,1.98,95.0,0
3,1.24,15.22,0
1,1.11,25.4,0
8,0.51,54.08,1
8,0.82,97.15,1
10,1.95,56.88,0
3,0.51,50.2,1
0,1.21,93.61,0
9,0.78,66.0,1
2,1.67,38.68,0
0,0.67,46.7,0
0,1.82,69.99,0
6,1.87,78.61,0
1,0.69,19.49,0
0,0.41,2.44,0
5,1.51,57.91,0
6,1.92,25.39,0
10,0.42,67.38,1
2,1.4,91.78,0
7,1.28,93.39,0
10,1.94,17.91,0
5,0.65,98.67,0
10,1.3,3.04,1
1,0.58,88.91,1
6,1.7,67.47,0
10,1.64,70.0,0
9,1.7,17.41,0
10,0.42,49.97,1
1,0.93,43.46,0
3,1.47,56.16,0
8,0.92,70.76,1
4,0.42,86.77,1
7,1.79,38.62,0
8,0.46,64.43,1
8,1.23,10.65,0
8,0.43,83.98,1
1,1.84,26.33,0
8,1.34,8.63,0
3,1.27,22.86,0
4,0.67,51.69,1
10,0.45,99.24,1
5,1.01,14.56,0
1,1.21,22.55,0
4,0.17,76.24,1
8,1.07,65.94,1
1,0.46,66.16,0
3,0.8,10.03,1
10,1.61,68.79,0
10,0.44,35.01,1
3,0.26,79.96,1
4,0.39,33.87,0
5,1.42,66.68,0
3,1.77,98.1,0
3,1.24,13.39,0
1,1.55,68.62,0
10,0.54,71.58,1
7,0.8,99.63,0
7,0.55,90.14,1
0,1.17,95.61,0
7,0.36,15.36,1
0,0.67,28.99,0
4,1.41,10.45,0
4,1.3,57.22,0
6,0.71,16.28,1
5,1.16,57.63,0
6,0.95,83.17,1
3,1.4,14.57,0
1,0.1,69.44,1
9,1.36,66.79,0
3,0.5,63.27,0
8,0.97,52.3,0
3,0.92,65.68,0
1,0.73,6.78,0
8,0.31,26.89,1
6,1.28,14.02,0
6,1.91,10.47,0
8,0.71,24.73,1
9,0.56,44.44,1
10,1.35,69.91,0
6,1.33,86.44,0
10,1.2,51.95,1
10,1.45,42.71,0
8,0.21,45.23,1
7,0.24,37.32,1
4,1.69,99.22,0
2,1.64,55.09,0
4,0.97,10.12,0
4,0.73,73.97,0
5,0.49,40.46,0
2,1.35,65.43,0
6,1.42,55.09,0
10,1.66,65.78,0
10,1.87,56.55,0
4,1.52,45.53,0
8,1.01,94.35,1
5,0.8,38.82,1
5,0.8,77.47,0
2,0.37,98.1,0
2,1.64,39.53,0
1,0.62,77.18,0
6,1.41,86.37,0
6,0.21,81.61,1
4,0.24,2.13,1
9,1.16,47.7,0
5,1.6,34.59,0
0,0.97,61.53,0
7,0.98,32.07,0
9,1.91,10.93,0
10,1.28,40.53,0
4,0.63,49.69,0
10,0.39,7.42,1
1,0.62,96.93,0
8,1.47,20.95,0
1,1.67,34.53,0
10,1.36,55.77,0
9,0.44,87.81,1
4,1.48,93.15,0
1,1.58,91.15,0
1,1.02,85.71,0
6,0.83,34.32,0
9,1.06,51.65,0
6,1.52,27.97,0
3,1.21,25.07,0
9,1.47,23.87,0
6,0.96,2.44,1
6,1.48,1.95,0
10,1.36,82.86,1
2,0.18,16.12,1
3,0.15,30.67,1
6,0.47,6.21,1
9,1.59,37.65,0
7,1.67,62.29,0
9,1.37,68.76,0
2,0.13,10.64,1
4,0.48,77.73,1
3,1.38,12.02,0
9,1.66,45.52,0
7,1.45,93.95,0
6,0.39,2.08,1
6,1.2,77.43,0
2,0.52,15.79,0
8,0.48,32.5,1
5,1.53,68.29,0
2,1.62,24.4,0
3,1.17,43.4,0
1,0.62,37.13,0
2,1.52,95.34,0
3,1.91,33.91,0
7,1.38,48.66,0
0,1.42,99.3,0
5,1.27,59.21,0
8,0.36,69.1,1
6,0.99,13.1,1
3,1.48,99.48,0
3,1.9,82.23,0
10,1.74,37.22,0
8,0.2,78.65,1
6,1.07,92.04,0
7,1.08,58.52,0
2,1.18,59.85,0
2,1.42,36.47,0
7,1.94,62.43,0
4,1.25,70.1,0
3,0.55,32.93,1
2,0.43,68.35,0
0,1.35,96.42,0
6,1.92,76.26,0
1,0.25,19.44,1
9,1.46,1.01,0
4,0.28,51.61,1
8,1.32,18.96,0
8,0.48,21.33,1
3,1.63,69.91,0
2,1.71,10.19,0
0,0.28,22.62,1
6,0.88,18.41,0
8,1.39,53.62,0
0,1.93,89.47,0
6,0.64,12.41,0
5,0.77,61.86,1
10,0.93,61.42,1
1,1.33,98.84,0
10,0.21,82.87,1
1,1.78,5.98,0
7,0.97,11.62,0
2,1.23,85.55,0
3,0.63,86.5,0
9,0.43,7.61,1
7,0.75,27.8,1
2,0.9,19.82,0
2,0.59,45.19,0
4,0.77,20.06,0
2,1.69,65.89,0
9,0.84,94.58,0
4,0.16,39.08,1
0,0.45,19.08,0
3,0.56,89.58,0
0,1.43,52.92,0
0,0.68,28.14,0
0,1.15,39.92,0
1,1.78,97.94,0
9,1.09,91.18,0
9,0.52,50.78,1
5,1.03,33.96,0
9,1.59,17.45,0
6,0.81,27.97,1
7,1.45,62.88,0
5,0.99,79.03,0
8,0.57,93.69,1
4,0.48,35.96,0
7,0.16,34.92,1
2,1.31,78.53,0
6,1.37,73.72,0
6,1.46,13.26,0
1,1.91,14.87,0
4,1.93,78.56,0
5,1.41,65.73,0
9,1.14,96.91,0
9,0.96,48.46,0
1,0.87,62.56,0
1,1.88,7.76,0
3,0.65,46.83,0
8,0.39,32.84,1
0,1.32,93.97,0
1,1.54,46.93,0
0,0.33,72.79,1
7,0.81,94.57,1
9,1.46,8.62,0
8,1.85,55.19,0
9,1.78,42.22,0
7,1.43,40.8,0
10,0.18,94.85,1
4,1.48,1.19,0
3,1.4,44.97,0
0,0.15,69.52,1
8,0.87,16.06,1
7,1.04,76.52,1
7,1.62,94.75,0
6,1.99,53.55,0
0,1.29,35.6,0
6,1.61,95.88,0
2,1.96,77.92,0
9,1.03,51.68,0
0,0.37,99.46,0
1,0.17,96.5,1
0,1.01,7.21,0
0,1.27,52.7,0
2,0.64,87.91,1
6,1.21,25.01,0
0,0.84,31.86,0
9,1.94,20.86,0
3,0.16,5.6,1
6,1.57,58.54,0
7,1.99,73.85,0
3,0.87,67.84,0
10,0.53,45.25,1
0,1.24,61.56,0
1,1.59,57.62,0
5,0.51,81.22,0
8,0.87,93.52,0
0,0.77,43.45,0
1,1.11,70.27,0
10,0.86,60.11,1
4,0.92,5.2,1
10,0.95,14.72,1
1,1.53,54.37,0
3,1.26,93.24,0
1,1.9,25.02,0
6,1.53,60.27,0
5,0.6,31.32,0
9,0.1,71.04,1
0,1.5,7.77,0
1,0.2,49.92,0
9,1.29,30.32,0
5,0.36,12.32,1
9,1.23,63.42,0
6,1.17,13.44,0
8,1.96,57.73,0
0,1.63,4.63,0
2,0.39,37.12,0
2,1.71,97.89,0
8,1.14,89.98,0
6,1.91,31.55,0
7,1.13,39.24,0
8,0.4,79.74,1
6,1.38,33.45,0
2,0.96,27.84,0
3,1.7,7.35,0
9,0.97,6.83,0
2,1.67,98.94,0
6,0.68,61.89,0
9,0.4,58.79,1
10,1.73,89.39,0
9,0.22,39.21,1
7,0.11,8.9,1
3,0.75,95.37,0
5,1.35,65.1,0
1,0.32,22.23,1
10,1.46,80.22,0
4,0.84,98.5,0
6,1.34,96.44,0
9,0.87,9.92,1
3,1.62,30.8,0
10,1.36,75.88,0
6,0.55,86.86,1
2,1.25,63.91,0
3,1.91,73.24,0
3,0.16,94.84,1
5,1.5,35.1,0
9,0.54,56.45,1
10,1.96,50.82,0
1,1.01,25.19,0
6,1.13,89.05,0
1,1.03,75.78,0
8,1.38,54.53,0
9,1.37,5.44,0
2,1.81,12.93,0
7,0.58,23.7,1
9,1.71,87.19,0
9,0.4,45.12,1
5,0.84,62.82,0
9,1.09,91.64,0
7,0.78,29.76,0
4,1.43,61.33,0
4,1.58,31.7,0
1,0.37,56.82,1
0,0.31,42.11,1
7,1.12,83.67,1
5,0.85,34.85,0
1,1.16,57.25,0
2,1.16,24.7,0
9,0.4,49.72,1
8,1.42,9.49,0
9,1.93,45.51,0
8,1.15,64.86,1
1,1.24,75.12,0
2,1.78,61.92,0
8,1.05,13.34,0
6,1.32,53.15,0
1,1.69,71.48,0
5,1.02,13.79,0
6,1.09,11.04,0
5,0.12,61.19,1
8,1.04,49.49,1
1,1.19,14.77,0
7,0.19,78.65,1
2,0.83,47.58,0
7,0.81,1.11,1
1,1.63,30.11,0
9,1.2,45.21,0
2,0.32,35.26,0
0,1.93,34.41,0
5,1.73,52.89,0
10,0.62,28.87,1
3,1.73,63.31,0
1,1.65,12.15,0
3,1.07,46.7,0
2,1.75,75.87,0
7,0.56,23.52,1
5,1.2,1.59,0
7,0.7,20.95,1
9,0.86,48.5,0
2,0.39,94.42,1
1,1.09,92.13,0
9,1.0,3.21,0
9,1.55,51.42,0
7,0.3,49.55,1
4,1.06,39.23,0
1,1.54,85.68,0
0,1.22,17.79,0
10,1.61,23.96,0
10,1.37,56.87,1
4,0.42,48.93,1
1,0.91,60.29,0
6,1.36,30.03,0
7,0.49,37.48,1
0,1.32,18.41,0
10,1.47,71.51,0
10,1.06,7.22,0
7,1.84,19.21,0
6,1.53,62.54,0
9,1.28,80.31,1
6,1.38,68.77,0
2,0.31,53.26,0
6,1.5,32.2,0
4,1.46,94.08,0
6,1.48,24.51,0
8,0.57,83.16,1
4,1.82,36.0,0
5,1.36,10.24,0
4,0.88,81.75,1
5,1.25,81.99,0
6,1.09,93.98,0
8,1.11,79.07,0
4,0.35,92.7,1
1,1.04,84.36,0
6,1.97,6.17,0
9,1.94,30.58,0
2,1.64,43.06,0
8,0.69,39.58,1
9,0.56,1.7,1
1,0.77,31.27,0
1,1.08,19.16,0
9,1.06,55.84,0
0,1.7,19.09,0
0,0.77,77.82,0
0,0.24,90.99,0
10,0.37,98.6,1
0,1.76,7.84,0
8,0.23,1.34,1
3,1.98,77.51,0
2,0.18,67.82,1
2,0.62,95.26,0
10,0.79,51.73,1
9,0.12,38.82,1
3,1.1,85.84,0
2,0.3,95.12,1
3,1.81,49.33,0
9,1.54,72.14,0
1,0.72,61.7,0
4,1.12,72.25,0
3,1.63,12.61,0
2,1.24,46.42,0
10,1.37,33.22,0
0,1.22,39.64,0
1,1.6,85.64,0
1,0.26,35.31,0
0,1.47,93.86,0
7,0.39,44.84,1
4,1.78,1.94,0
6,1.68,74.0,0
0,1.13,66.68,0
2,1.63,28.12,0
2,1.49,85.35,0
6,0.18,99.94,1
5,1.67,31.01,0
9,1.4,47.28,0
1,1.02,29.36,0
3,1.62,10.11,0
2,1.56,31.58,0
0,0.28,1.15,0
10,1.91,38.59,0
5,1.28,51.57,0
0,0.27,37.26,1
8,1.3,86.03,0
8,0.37,39.69,1
9,1.92,57.89,0
7,0.45,71.11,1
1,1.7,53.94,0
1,0.96,48.9,0
4,0.47,79.89,1
2,1.88,19.4,0
9,0.65,6.03,1
3,1.69,12.55,0
1,1.54,30.77,0
5,0.48,97.13,0
8,0.23,92.79,1
10,0.14,16.09,1
9,1.69,1.14,0
1,1.1,54.66,0
7,1.5,40.06,0
10,1.61,74.19,0
7,1.82,96.02,0
2,0.62,95.03,0
5,1.7,45.29,0
7,0.51,72.39,1
4,1.22,97.7,0
5,1.19,40.84,0
8,1.78,50.56,0
6,0.27,80.89,1
0,0.92,82.37,0
7,0.13,31.91,1
3,1.96,30.16,0
10,0.54,78.95,1
3,1.89,15.61,0
5,0.41,53.01,1
3,1.04,76.6,0
5,1.79,8.7,0
9,1.12,23.09,1
6,0.47,31.08,1
8,1.56,49.39,0
4,0.56,2.06,0
8,1.15,58.93,0
8,0.7,93.17,1
7,0.81,13.17,1
2,1.16,39.98,0
7,0.93,33.52,1
0,0.96,44.97,0
0,0.14,37.85,1
3,1.47,14.64,0
5,1.49,67.7,0
7,1.42,39.56,0
10,0.48,33.33,1
3,0.1,65.87,1
2,1.55,57.22,0
3,0.58,18.8,0
6,0.56,58.15,1
3,1.63,76.15,0
0,1.54,65.05,0
6,1.23,42.1,0
9,0.45,42.41,1
8,0.99,54.56,0
3,1.3,68.56,0
1,0.55,27.09,0
2,1.61,78.66,0
7,0.61,59.02,0
8,1.4,40.51,0
7,1.94,30.83,0
2,0.34,36.3,1
10,1.2,1.4,0
1,1.36,68.97,0
8,1.71,91.42,0
3,1.53,82.6,0
5,0.89,50.24,1
0,0.6,4.81,1
8,1.81,58.32,0
0,1.44,21.77,0
1,1.27,40.17,0
2,1.89,47.77,0
6,1.0,21.86,0
1,0.62,61.41,0
10,0.18,19.63,1
1,1.35,36.72,0
10,1.3,9.41,0
3,1.79,3.64,0
2,0.81,81.18,0
10,1.75,33.89,0
6,1.4,15.52,0
4,1.95,30.9,0
1,1.62,68.59,0
1,0.81,96.08,0
10,1.5,26.61,0
1,1.1,69.36,0
0,0.12,39.59,1
8,1.42,61.09,0
7,0.66,50.14,1
9,1.11,54.14,0
8,1.06,14.05,1
4,0.7,22.43,1
0,1.02,39.7,0
4,0.53,13.3,0
0,0.89,57.19,0
4,0.52,43.4,0
5,0.97,25.12,0
2,1.41,59.87,0
8,0.98,50.87,1
5,0.54,30.2,1
4,1.45,99.78,0
9,1.38,97.38,0
9,1.59,48.23,0
3,0.17,67.18,1
6,1.51,25.11,0
10,1.5,21.3,0
1,0.62,78.44,0
6,0.98,62.8,0
3,1.18,36.54,0
10,0.22,32.67,1
8,0.62,47.32,1
2,1.54,96.33,0
6,1.89,76.74,0
6,1.31,24.93,0
6,0.9,7.06,0
7,1.2,29.49,0
3,1.62,76.26,0
3,0.95,84.43,0
5,1.23,67.13,0
6,0.35,54.18,1
2,1.67,4.45,0
10,0.65,10.62,1
6,0.34,64.91,1
6,1.47,73.14,0
0,1.64,75.9,0
8,1.49,44.83,0
9,0.19,58.46,1
1,1.06,5.76,0
2,0.55,4.28,0
9,0.13,81.92,1
7,1.01,52.72,1
1,1.24,62.91,0
4,1.99,35.69,0
10,1.75,34.61,0
7,0.5,55.33,1
9,0.92,92.86,0
10,1.44,70.94,0
6,0.78,94.03,1
9,0.97,92.55,1
4,1.96,91.17,0
3,1.65,1.51,0
5,1.82,69.11,0
10,1.16,76.0,0
8,1.93,84.68,0
6,1.0,74.82,0
5,0.16,20.79,1
0,0.71,84.32,0
5,1.0,4.68,0
3,0.62,34.61,1
3,0.88,31.47,0
6,1.98,51.15,0
8,1.8,63.93,0
1,0.14,14.38,1
7,1.8,2.14,0
0,1.59,50.85,0
7,0.74,14.04,1
7,0.91,30.26,0
6,1.84,65.73,0
7,0.33,50.9,1
6,0.49,66.01,1
0,0.96,42.54,0
7,0.4,32.09,1
4,0.15,12.97,1
10,0.35,90.6,1
10,0.95,1.44,1
4,0.45,63.63,1
9,1.32,49.31,0
8,1.69,20.78,0
2,0.94,99.24,0
4,0.94,66.63,0
5,0.1,72.17,1
10,1.36,22.08,0
5,1.78,65.42,0
3,0.39,42.4,0
8,1.32,51.89,0
9,0.88,7.96,0
1,0.94,85.07,0
7,1.25,38.35,0
5,1.91,44.28,0
10,1.32,56.58,1
3,1.5,49.06,0
10,0.3,88.05,1
3,0.79,21.78,1
8,0.59,79.08,1
6,1.07,42.8,0
0,0.32,45.78,0
0,1.78,65.28,0
1,0.35,23.34,1
3,1.76,69.89,0
8,1.89,49.8,0
6,0.71,58.13,1
9,1.33,30.76,1
9,1.72,36.98,0
8,1.45,35.07,0
1,1.73,86.17,0
1,0.91,31.28,0
4,1.47,83.36,0
4,0.68,77.83,0
7,0.75,2.49,0
10,1.73,30.44,0
1,0.2,66.38,1
9,1.08,6.79,0
5,1.26,93.83,0
6,1.64,22.41,0
10,1.52,2.35,0
10,1.81,48.44,0
10,1.61,94.22,0
0,0.4,27.63,0
4,1.57,16.84,0
2,0.7,54.39,0
9,1.45,59.75,0
9,1.18,74.1,0
2,1.62,43.09,0
10,1.86,65.54,0
5,0.92,43.43,0
7,1.02,7.47,0
1,0.12,90.52,1
3,0.39,23.41,1
1,1.1,36.06,0
0,0.9,40.55,0
5,1.03,45.53,0
1,1.94,33.5,0
7,0.44,60.9,1
4,1.21,93.91,0
0,1.04,6.5,0
5,1.68,41.97,0
10,1.86,26.12,0
9,0.41,80.59,1
3,0.98,4.93,0
0,1.5,88.9,0
7,0.49,97.44,1
9,0.61,92.28,1
10,1.44,50.66,1
0,0.94,95.04,0
9,0.74,87.11,1
8,0.87,12.08,1
9,1.66,58.18,0
9,0.15,22.61,1
9,0.37,19.07,1
10,1.02,71.86,0
0,0.15,71.17,0
9,1.38,13.98,0
5,0.7,74.95,1
2,1.4,55.31,0
7,0.5,69.07,1
1,0.12,46.57,1
0,1.34,69.08,0
3,0.91,17.79,0
4,0.31,56.16,1
6,1.97,49.44,0
3,1.94,15.77,0
0,0.6,80.49,0
9,0.64,89.11,1
7,1.49,4.81,0
0,0.89,15.89,0
2,0.66,2.16,0
3,1.1,1.03,0
5,1.39,76.77,0
10,0.6,59.34,1
0,1.97,58.38,0
1,0.53,90.39,0
6,1.18,63.97,0
3,1.56,69.66,0
8,0.19,19.42,1
8,0.46,33.04,1
10,1.86,72.82,0
3,0.21,65.42,1
3,0.32,35.0,1
2,0.34,2.33,0
7,0.7,94.28,1
9,0.9,23.19,1
4,0.3,10.69,1
7,1.45,74.39,0
5,1.99,41.51,0
7,1.92,39.61,0
3,1.56,56.71,0
4,0.54,2.42,0
8,0.48,61.8,1
6,1.55,73.12,0
3,1.02,23.48,0
8,0.37,13.01,1
4,0.13,87.25,1
3,1.89,56.39,0
8,1.72,46.78,0
7,0.4,58.35,1
1,0.84,79.79,0
7,0.8,39.32,1
4,1.41,98.52,0
8,1.48,36.93,0
10,0.6,40.44,1
4,0.89,74.43,0
10,0.25,21.34,1
10,0.41,90.12,1
10,1.56,41.76,0
1,1.21,48.05,0
3,1.51,35.51,0
10,1.07,38.79,0
7,1.7,38.18,0
6,1.04,57.03,0
6,1.96,87.64,0
3,0.55,88.0,1
8,0.59,22.32,1
4,1.44,78.41,0
6,1.37,68.81,0
8,1.37,89.62,0
5,0.24,87.58,1
2,0.84,35.04,0
0,1.42,23.32,0
5,0.38,45.35,1
6,1.35,14.35,0
2,1.71,45.66,0
10,1.68,82.02,0
7,0.55,31.26,1
9,1.09,89.35,0
1,1.09,92.71,0
5,0.4,14.76,1
2,0.95,70.02,0
0,1.98,83.22,0
1,0.18,43.51,0
4,1.02,18.81,0
10,1.66,62.63,0
4,1.77,86.89,0
3,1.74,50.74,0
6,1.98,92.32,0
6,0.87,86.77,0
1,0.93,16.83,0
4,0.22,11.2,1
9,0.73,40.84,1
7,1.97,35.21,0
8,1.76,1.87,0
3,1.28,59.83,0
2,0.73,14.96,0
10,1.29,89.07,0
2,0.18,85.46,0
1,1.65,27.79,0
10,1.09,68.5,1
1,0.42,33.96,0
10,0.85,59.34,1
4,0.71,33.63,0
7,0.74,21.69,1
7,0.47,79.71,1
2,0.64,85.9,0
8,1.7,93.73,0
0,1.24,65.64,0
9,0.22,7.34,1
1,1.39,26.34,0
3,0.69,2.63,0
5,0.52,6.85,1
0,0.54,39.89,0
0,0.95,32.77,0
6,0.18,36.89,1
3,0.94,20.69,0
0,1.86,92.31,0
0,1.93,16.74,0
4,1.95,88.25,0
9,1.1,58.28,1
0,0.69,32.04,0
4,1.44,22.35,0
7,1.66,96.46,0
2,0.83,51.88,0
10,0.3,40.41,1
4,1.02,37.87,0
10,1.73,94.58,0
6,1.96,74.98,0
3,1.02,29.9,0
6,1.68,73.6,0
0,0.29,58.68,1
7,0.67,45.98,0
5,0.77,11.96,0
7,1.79,40.56,0
0,1.07,34.22,0
6,1.77,40.46,0
10,1.03,27.43,0
1,0.54,13.66,0
0,0.65,95.32,0
1,0.75,25.72,0
10,0.15,35.02,1
6,1.27,90.16,0
8,1.79,68.82,0
1,1.64,28.07,0
0,1.44,46.63,0
1,0.27,67.51,0
10,1.67,31.95,0
4,1.83,1.77,0
0,1.09,34.19,0
6,0.72,21.57,1
7,0.76,34.08,0
1,1.21,86.17,0
10,1.84,82.65,0
2,1.17,42.91,0
4,1.55,94.28,0
8,1.75,14.72,0
8,1.51,2.39,0
9,1.68,25.56,0
7,0.78,56.6,0
7,1.08,96.12,1
3,0.49,24.35,0
0,1.09,27.98,0
9,1.56,81.72,0
8,0.36,39.78,1
0,0.45,20.01,0
0,1.05,39.32,0
9,1.0,49.88,1
5,0.34,63.5,1
0,1.0,17.7,0
10,0.8,78.88,1
10,1.64,72.03,0
7,1.46,21.31,0
8,1.21,63.36,0
0,0.93,52.22,0
0,1.84,71.5,0
10,1.73,17.15,0
3,0.23,18.66,1
6,1.83,39.84,0
2,0.7,72.91,1
0,1.53,80.26,0
6,0.91,34.72,0
7,0.16,36.28,1
9,0.6,89.41,1
8,0.26,81.89,1
6,1.1,90.01,0
7,1.59,48.49,0
6,0.53,40.74,1
1,1.34,65.92,0
4,0.11,60.75,1
9,1.66,18.02,0
8,0.27,31.14,1
8,1.52,54.06,0
9,1.0,64.52,1
8,1.54,85.05,0
7,0.12,38.72,1
7,1.28,6.14,0
10,1.98,2.06,0
9,1.73,62.04,0
2,1.34,52.31,0
6,0.79,42.42,0
9,0.33,86.98,1
6,1.51,35.41,0
3,1.69,8.54,0
3,1.61,94.22,0
3,0.64,67.11,1
3,0.68,53.23,0
7,0.48,58.57,1
0,0.67,45.11,0
1,0.98,10.47,0
4,0.82,79.94,0
2,0.59,26.4,0
6,1.09,20.43,0
1,1.52,43.84,0
6,0.44,15.84,1
8,1.98,62.97,0
9,1.58,8.32,0
10,0.64,80.6,1
4,0.64,85.48,1
5,1.18,6.66,0
10,1.71,25.6,0
7,1.4,31.62,0
3,0.48,12.21,0
5,0.79,5.61,1
1,1.21,53.76,0
9,1.82,50.15,0
9,1.04,4.56,0
0,0.98,89.26,0
3,0.7,10.43,0
8,0.88,87.56,1
6,0.35,95.76,1
3,1.94,2.19,0
2,1.79,12.4,0
8,1.95,4.64,0
3,1.62,43.78,0
2,0.22,70.72,1
2,0.67,58.83,0
6,0.68,60.77,0
8,0.56,70.48,1
3,0.28,61.56,1
6,1.36,59.91,0
8,1.1,90.28,0
4,0.42,61.12,1
1,1.94,95.79,0
8,1.28,21.46,0
4,1.07,70.67,0
6,1.85,1.32,0
10,0.9,58.96,1
8,0.7,21.29,1
9,1.46,38.71,0
2,1.59,37.65,0
9,0.44,35.98,1
2,1.75,73.08,0
5,1.14,55.97,0
3,0.2,5.7,1
6,0.78,30.99,0
8,0.75,73.29,1
0,0.51,95.83,0
6,1.64,88.9,0
10,0.51,43.55,1
4,0.68,13.66,0
6,1.19,59.08,0
8,0.38,74.61,1
5,1.73,23.05,0
4,0.24,55.25,1
10,0.87,61.23,1
1,1.45,45.25,0
8,1.52,40.05,0
10,1.33,26.21,0
1,0.25,30.19,0
8,0.72,23.75,1
8,1.17,64.81,0
7,1.76,44.96,0
1,0.65,95.03,0
5,1.31,18.03,0
10,1.74,11.9,0
0,0.68,11.92,0
10,1.42,81.64,0
4,0.23,8.39,1
5,0.46,4.68,1
3,1.9,30.31,0
9,1.44,41.54,0
5,0.33,91.84,1
10,1.96,95.31,0
10,1.3,87.7,0
8,1.01,95.58,0
0,1.13,34.49,0
3,1.51,67.64,0
5,1.45,73.18,0
5,0.31,78.09,1
7,1.14,3.18,0
5,1.38,13.76,0
7,0.47,28.72,1
3,0.69,35.01,0
6,0.34,58.43,1
5,0.24,18.34,1
7,1.51,16.28,0
6,1.61,11.9,0
2,0.21,84.25,1
1,1.28,98.37,0
3,1.58,53.09,0
4,1.2,54.7,0
10,1.21,78.24,0
10,1.18,68.52,0
9,1.66,49.15,0
5,0.23,73.74,1
8,1.38,80.28,0
7,0.83,70.31,1
6,0.87,4.41,0
9,1.23,66.2,0
7,0.47,69.56,1
5,0.81,25.93,0
2,1.78,49.88,0
5,0.92,25.33,1
2,1.4,91.21,0
0,1.23,45.32,0
3,0.26,12.94,1
9,1.87,38.3,0
7,0.27,92.59,1
0,0.33,55.93,0
4,1.95,16.81,0
9,1.21,2.81,1
7,0.94,1.46,0
8,0.38,45.77,1
6,0.51,26.89,1
3,0.91,14.3,0
2,0.12,80.85,1
